Liste des applicateurs faisceaux ,,,,,,,,,,
Spécification Applicateur,,,,,Spécification du cosse,,Etat,,,
N° Outil,Site,Désignation,N° Serie,Constructeur,Référence cosse,,Statut,Remarque,,
,,,,,Constructeur,TEC ,,,,
A26,RAI,"Outil sertissage cosses DELPHI WHAETER-PACK  
0,5 à 0,8² MALE","522,385,001", KRISTEN,12089188,270600550,hors service,"N° ET107 Récup HA HARDELLET, (constructeur introuvable, plus possible d'avoir des PCS)",,
,,,,,12089040,270600460,,,,
,,,,,15344720,,,,,
A27,RAI,Outil sertissage cosses JAE MX34 0.5-0.75² FEM,"10525
37-0-1538-00-0",SIROCCO,M34S75C4F2,270615860,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A28,RAI,"Outil sertissage cosses DIN 72585 T1,5 0,5-1mm²",L111590,MECAL,1703013-1,270609780,en service,,,
,,,,,,,,,,
,,,,,929989-1,270609770,,,,
,,,,,,,,,,
A29,RAI,"Outil sertissage cosses CINCH 0,8-2mm² FEM",L111592,MECAL,4250000873,270567043,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A30,RAI,"Outil sertissage cosses DEUTSH en bande T16 1 à 2,5mm²",L111998,MECAL,1060-16-1222,270610660,en service,,,
,,,,,,,,,,
,,,,,1062-16-1222,270610680,,,,
,,,,,,,,,,
A31,RAI,Outil sertissage cosses TYCO AWG 24-30 FEM,L117162,MECAL,1735801-1,270621880,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A32,RAI,Outil sertissage cosses AMPH RT T16 0.35-0.5² M,118946,MECAL,SP20M2F,270612020,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A33,RAI,Outil sertissage cosses AMPH RT T16 0.75-1.5² M,L118962,MECAL,SP16M1F,270612030,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A34,RAI,"Outil sertissage cosses SUPERSEAL1.0 0,5² B",L118951,MECAL,3-1447221-4,270613280,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A35,RAI,Outil sertissage cosses SUPERSEAL1.0 0.75-1.25² B,L118965,MECAL,3-1447221-3,270613320,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A36,RAI,"Outil sertissage cosses 2,8 0,5-1,5² F B",9263,MECATRACTION,00434-8DP,270620390,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
A37,RAI,"Outil sertissage cosses 4,8 0,35-1,5² NUE F BAN",9262,MECATRACTION,00405-8DP,270621840,en service,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
E467 + A38,RAI,"Outil sertissage cosse DEUTSCH T16 0,75mm² à 2mm²",,WEIJONG,1062-16-0122,270608760,en service,,,
,,,,,,,,,,
,,,,,1060-16-0122,270608560,,,,
,,,,,,,,,,
