,,Etat des Pinces de sertissages,,,,,,,,,,,,,,"Référence : FQ111/00 
Page : 2/2"
Spécification du pince,,,Spécification du cosse,,Spécification de sertissage,,,Service maintenance,,,,,,,,
"Numéro 
Pince",Constructeur,"Référence
more","Référence 
constructeur","Référence 
TEC","Séction en 
MM","
Longueur de 
dénudage
",Valeur de traction, Valeur des essais du maintenance ,,,,,"Date de
Vérification",Affectation,Statut,Remarque
,,,0462-203-12141,270567075,3.00,"5,64 à 7,21 ",≥ 334,317,327,320,315,328,,,,
,,,0462-203-12141,270567075,"2 - 2,5","5,64 à 7,21 ",≥ 311,319,324,320,331,316,,,,
,,,0462-203-12141,270567078,3.00,"5,64 à 7,21 ",≥ 334,,,,,,,,,
,,,0462-203-12141,270567078,"2 - 2,5","5,64 à 7,21 ",≥ 311,,,,,,,,,
,,,0462-201-20141,270610710,0.5,"3,96 à 5,54",≥ 89,,,,,,,,,manque cosse
,,,0460-215-16141,270606300,2,"6,35 à 7,92",≥ 311,,,,,,,,,
,,,0460-215-16141,270600850,,"6,35 à 7,92",≥ 311,,,,,,,,,
P7,TYCO,539 737-2/A,12048074,270599000,0.5,"4 à 4,5",≥ 75,,,,,,5/5/2025,,,
,,,12048074,270599000,0.75,"4 à 4,5",≥ 120,,,,,,,,,
,,,12048074,270599000,1,"4 à 4,5",≥ 160,,,,,,,,,
,,,12084200,270567114,0.3,"4 à 4,5",≥ 40,,,,,,,,,
,,,12084200,270567114,0.5,"4 à 4,5",≥ 60,,,,,,,,,
,,,929940-1,270567027,0.5,"4,3 à 5",≥ 60,86,95,84,80,79,,,,
,,,929940-1,270567027,0.75,"4,3 à 5",≥ 85,132,127,119,128,122,,,,
,,,929940-1,270567027,1,"4,3 à 5",≥ 100,,,,,,,,,
,,,929939-3,270621030,0.5,"4,3 à 5",≥ 60,,,,,,,,,
,,,929939-3,270621030,0.75,"4,3 à 5",≥ 85,,,,,,,,,
,,,929939-3,270621030,1,"4,3 à 5",≥ 100,,,,,,,,,
,,,927771-3,270614120,0.5,"3,7 à 4,3",≥ 60,,,,,,,,,
,,,927771-3,270614120,0.75,"3,7 à 4,3",≥ 85,,,,,,,,,
,,,927771-3,270614120,1,"3,7 à 4,3",≥ 100,,,,,,,,,
,,,927768-3,270621120,1.5,"4 à 4,6",≥ 150,,,,,,,,,
,,,927768-3,270621120,2,"4 à 4,6",≥ 200,,,,,,,,,
,,,927768-3,270621120,2.5,"4 à 4,6",≥ 200,,,,,,,,,
,,,929938-1,270567720,1.5,"4,9 à 5,5",≥ 150,256,198,248,243,254,,,,
,,,929938-1,270567720,2,"4,9 à 5,5",≥ 200,,,,,,,,,
,,,929938-1,270567720,2.5,"4,9 à 5,5",≥ 200,204,190,189,199,212,,,,
